(R) Hippocampal formation slice 1 time (s),(R) Hippocampal formation slice 1 amplitude,(R) Hypothalamus slice 1 time (s),(R) Hypothalamus slice 1 amplitude,(R) IsocortexUD slice 1 time (s),(R) IsocortexUD slice 1 amplitude,(R) Pallidum slice 1 time (s),(R) Pallidum slice 1 amplitude,(R) Striatum slice 1 time (s),(R) Striatum slice 1 amplitude,(R) Thalamus slice 1 time (s),(R) Thalamus slice 1 amplitude
0.4,0.0673060063464926,0.4,0.137081208188575,0.4,0.0746404381137606,0.4,0.016579751661743,0.4,0.168443087744323,0.4,0.101996801577853
1.4,0.0658824549492952,1.4,0.135673564041771,1.4,0.0725952563189456,1.4,0.0166882432044404,1.4,0.166062910610249,1.4,0.100902514404393
2.4,0.0647292662194765,2.4,0.134481959551228,2.4,0.0708149558613862,2.4,0.016799689839744,2.4,0.164091212801638,2.4,0.0999085462570099
3.4,0.0639752825220255,3.4,0.13358910057011,3.4,0.0694349149476842,3.4,0.0169052015503763,3.4,0.162659377330623,3.4,0.0990833702988321
4.4,0.0636916187702481,4.4,0.13303271182336,4.4,0.068527832783186,4.4,0.0169972281880912,4.4,0.161831609698826,4.4,0.0984735296163639
5.4,0.0638906235389117,5.4,0.132804298973194,5.4,0.0680998128535434,5.4,0.0170704974625399,5.4,0.161605248908055,5.4,0.0980999554318294
6.4,0.0645160324307898,6.4,0.132854513148224,6.4,0.0680954464314428,6.4,0.0171227593982372,6.4,0.16191665165956,6.4,0.0979546164739378
7.4,0.0654575467077843,7.4,0.133105452953357,7.4,0.0684110086458933,7.4,0.0171546171436791,7.4,0.162646155109423,7.4,0.0980049685967905
8.4,0.0665717018446187,8.4,0.133465634355017,8.4,0.0689210285160834,8.4,0.0171692537964142,8.4,0.163644088952148,8.4,0.0982015319475384
9.4,0.0677056863546647,9.4,0.133846916539467,9.4,0.0695009793216392,9.4,0.0171711366355902,9.4,0.164749058511165,9.4,0.0984875189439572
10.4,0.0687265018421496,10.4,0.134176946825268,10.4,0.070049931538856,10.4,0.017165500032706,10.4,0.165812292794074,10.4,0.0988076808562844
11.4,0.069534404946763,11.4,0.134407095819206,11.4,0.0704995174560565,11.4,0.0171571038659863,11.4,0.166713721204735,11.4,0.0991166303786197
12.4,0.0700801463546105,12.4,0.134516508788467,12.4,0.0708209612524089,12.4,0.0171493963121677,12.4,0.167371976341286,12.4,0.0993826370554099
13.4,0.070370433979829,13.4,0.134506664888911,13.4,0.0710258916427014,13.4,0.017144765762108,13.4,0.167755055210781,13.4,0.0995924663280396
14.4,0.070446477780475,14.4,0.134400238767859,14.4,0.0711444403753284,14.4,0.0171443702372485,14.4,0.167869185925263,14.4,0.0997447724789162
15.4,0.0703803550475993,15.4,0.13423232647849,15.4,0.0712186350787359,15.4,0.0171478513815155,15.4,0.167759700504231,15.4,0.0998491897623681
16.4,0.0702506579142821,16.4,0.134043548591528,16.4,0.0712854392476044,16.4,0.0171542961557756,16.4,0.167494979964441,16.4,0.0999182355164261
17.4,0.0701279245021698,17.4,0.133871548848021,17.4,0.0713701286844932,17.4,0.0171621772283264,17.4,0.167153290968487,17.4,0.0999654305680226
18.4,0.0700586870250391,18.4,0.133750972917616,18.4,0.07147997919464,18.4,0.0171702828406561,18.4,0.166812560308121,18.4,0.0999995708733641
19.4,0.0700633133290264,19.4,0.133707339502707,19.4,0.0716089656446466,19.4,0.017177860040653,19.4,0.166536077120821,19.4,0.100023859181514
20.4,0.0701370149284222,20.4,0.133755567195966,20.4,0.0717433768904642,20.4,0.0171838709192887,20.4,0.166367152352572,20.4,0.100035819799096
21.4,0.0702600404055961,21.4,0.133898625486742,21.4,0.0718694133287304,21.4,0.0171878670661368,21.4,0.166329926625886,21.4,0.100031926161023
22.4,0.0703998159617927,22.4,0.1341272853942,22.4,0.0719743554449438,22.4,0.0171895929681543,22.4,0.166419345344668,22.4,0.10000680803783
23.4,0.0705306313455171,23.4,0.134419129060231,23.4,0.0720590910094705,23.4,0.0171889713816952,23.4,0.166618858824223,23.4,0.0999589896447034
24.4,0.0706312410857258,24.4,0.134741146373495,24.4,0.0721318715969985,24.4,0.017185940172127,24.4,0.166891077314463,24.4,0.09988965458444
25.4,0.0706896930818658,25.4,0.13505447491081,25.4,0.0722026908036434,25.4,0.017180301793815,25.4,0.167192811695937,25.4,0.0998029923663875
