(R) Hippocampal formation slice 1 time (s),(R) Hippocampal formation slice 1 amplitude,(R) Hypothalamus slice 1 time (s),(R) Hypothalamus slice 1 amplitude,(R) IsocortexUD slice 1 time (s),(R) IsocortexUD slice 1 amplitude,(R) Pallidum slice 1 time (s),(R) Pallidum slice 1 amplitude,(R) Striatum slice 1 time (s),(R) Striatum slice 1 amplitude,(R) Thalamus slice 1 time (s),(R) Thalamus slice 1 amplitude
0.4,0.126060724972068,0.4,0.188853087386964,0.4,0.0995074010541537,0.4,0.0213244251952443,0.4,0.189689811631965,0.4,0.149370855052438
1.4,0.129694264323438,1.4,0.189280471515618,1.4,0.101969832888024,1.4,0.0214264945705009,1.4,0.194080476534404,1.4,0.150131269371788
2.4,0.132955321425343,2.4,0.189615000827547,2.4,0.104231859900125,2.4,0.0214776401665932,2.4,0.197886519422247,2.4,0.150752450064361
3.4,0.13557550021481,3.4,0.189835044377811,3.4,0.106119671531703,3.4,0.0214736091258015,3.4,0.200811412544802,3.4,0.151185039640945
4.4,0.137387511072618,4.4,0.18992827968185,4.4,0.107518170137587,4.4,0.0214207235036485,4.4,0.202703286954026,4.4,0.151408556731444
5.4,0.138332730820224,5.4,0.189896079162604,5.4,0.10838573302814,5.4,0.021333319504929,5.4,0.203573093717254,5.4,0.151435063451997
6.4,0.138471009904158,6.4,0.189753331890542,6.4,0.10875241583696,6.4,0.021232000344932,6.4,0.203585240817367,6.4,0.15130356054087
7.4,0.13795341842434,7.4,0.189528094213442,7.4,0.108711299305243,7.4,0.0211380886012475,7.4,0.203017820591646,7.4,0.151075207208173
8.4,0.136994128442237,8.4,0.189255195420118,8.4,0.108385057708931,8.4,0.0210696550791431,8.4,0.20219996306821,8.4,0.150819866225081
9.4,0.135826644227829,9.4,0.188977007268293,9.4,0.107912851725974,9.4,0.0210385294608146,9.4,0.201444429283843,9.4,0.150604900244238
10.4,0.134665611819261,10.4,0.188734177406923,10.4,0.107412700783854,10.4,0.021048194527314,10.4,0.200986042477892,10.4,0.150479774542665
11.4,0.133684247792905,11.4,0.188561325851243,11.4,0.106974798767103,11.4,0.0210955622274858,11.4,0.20094706403513,11.4,0.150474347811551
12.4,0.132991078292124,12.4,0.188480093557738,12.4,0.106647794006097,12.4,0.0211707097284116,12.4,0.20132530704882,12.4,0.150590515655298
