(R) Hippocampal formation slice 1 time (s),(R) Hippocampal formation slice 1 amplitude,(R) Hypothalamus slice 1 time (s),(R) Hypothalamus slice 1 amplitude,(R) IsocortexUD slice 1 time (s),(R) IsocortexUD slice 1 amplitude,(R) Pallidum slice 1 time (s),(R) Pallidum slice 1 amplitude,(R) Striatum slice 1 time (s),(R) Striatum slice 1 amplitude,(R) Thalamus slice 1 time (s),(R) Thalamus slice 1 amplitude
0.4,0.0691714731790457,0.4,0.179507152867635,0.4,0.0802791435207714,0.4,0.0248007478224262,0.4,0.167485760875575,0.4,0.188937626681275
1.4,0.0729339905518193,1.4,0.179745718830657,1.4,0.0806958965995566,1.4,0.0252622951594415,1.4,0.169780018928145,1.4,0.189338470938063
2.4,0.0762793414191922,2.4,0.180032734300813,2.4,0.0811117591201787,2.4,0.0257497658668939,2.4,0.171902956410309,2.4,0.189782190930536
3.4,0.0789605778905945,3.4,0.18035997670832,3.4,0.0814907503600418,3.4,0.0262248948721369,3.4,0.17369810421284,3.4,0.190258601347435
4.4,0.0808286142323139,4.4,0.180711760919854,4.4,0.0818049663523114,4.4,0.0266539251912478,4.4,0.175068690355091,4.4,0.190754028555991
5.4,0.0818532637909588,5.4,0.181063867456594,5.4,0.082040344299304,5.4,0.0270130924342411,5.4,0.175989430140075,5.4,0.191255508124385
6.4,0.0821117548755294,6.4,0.181385236349677,6.4,0.0821976468136499,6.4,0.0272898973771265,6.4,0.176499839808713,6.4,0.191743636397984
7.4,0.0817700410781629,7.4,0.181646681740456,7.4,0.0822949867738593,7.4,0.0274824499825009,7.4,0.176691390027015,7.4,0.19219747841448
8.4,0.0810430891698581,8.4,0.181828642210857,8.4,0.0823610396178803,8.4,0.0275973759323974,8.4,0.176684870100829,8.4,0.192594246169585
9.4,0.0801554000156101,9.4,0.181919881879942,9.4,0.0824258064898452,9.4,0.0276464205254199,9.4,0.176596098484353,9.4,0.192918785014355
10.4,0.0793018226801592,10.4,0.181926349113611,10.4,0.0825136563165066,10.4,0.0276427315451931,10.4,0.1765189316337,10.4,0.193155230455634
11.4,0.0786259629498596,11.4,0.18187037620151,11.4,0.0826389979331493,11.4,0.0275993958498624,11.4,0.176506315238826,11.4,0.193294804474239
12.4,0.0782037134499736,12.4,0.181782312745854,12.4,0.0827995506421862,12.4,0.0275259791002207,12.4,0.176566754474059,12.4,0.193340213077977
13.4,0.0780513637792874,13.4,0.181698342036856,13.4,0.082977573469275,13.4,0.0274293225750873,13.4,0.176672098627036,13.4,0.193299370271818
14.4,0.07814097598553,14.4,0.181648752704402,14.4,0.083148245417115,14.4,0.0273150259418401,14.4,0.176771461640532,14.4,0.19319860015912
15.4,0.0784140932302737,15.4,0.181654525746612,15.4,0.0832826268066949,15.4,0.0271877769481944,15.4,0.176812692372307,15.4,0.193063985038436
16.4,0.078804463583752,16.4,0.181719801169654,16.4,0.0833575600593814,16.4,0.0270538812583007,16.4,0.176755632450712,16.4,0.192928401687177
17.4,0.079250729589781,17.4,0.18183836378308,17.4,0.0833626033249463,17.4,0.0269220960906232,17.4,0.176589481927632,17.4,0.192826100810606
18.4,0.0797023842374068,18.4,0.181989161754797,18.4,0.083299461544925,18.4,0.0268026166816779,18.4,0.176330142065076,18.4,0.19278461338512
19.4,0.0801216435936615,19.4,0.182147464629894,19.4,0.0831843920635116,19.4,0.0267068519063823,19.4,0.176022388832497,19.4,0.192829357099213
20.4,0.0804783807724603,20.4,0.182289779921257,20.4,0.0830395179306901,20.4,0.0266429718765679,20.4,0.175719282185996,20.4,0.192966691108693
21.4,0.0807502576938704,21.4,0.182399017210557,21.4,0.0828929413674379,21.4,0.0266164839589762,21.4,0.175474760987857,21.4,0.193193468119353
22.4,0.0809171805897066,22.4,0.182465047461568,22.4,0.0827629173893878,22.4,0.0266255372013598,22.4,0.175325281412945,22.4,0.193488874921852
23.4,0.0809654240824179,23.4,0.182489105079224,23.4,0.0826605767904147,23.4,0.0266613118499955,23.4,0.175286741834782,23.4,0.1938246595155
24.4,0.0808968266031982,24.4,0.182481448468846,24.4,0.0825892097602385,24.4,0.0267088645711638,24.4,0.175349364987782,24.4,0.194169130875185
25.4,0.0807189952075258,25.4,0.182452673243625,25.4,0.0825365764225856,25.4,0.0267498202343581,25.4,0.175483175043122,25.4,0.194481987509757
26.4,0.0804661959105946,26.4,0.182417124818271,26.4,0.0824916134548075,26.4,0.0267667918586861,26.4,0.175650855691013,26.4,0.194732462378168
27.4,0.0801832997971562,27.4,0.182382275049537,27.4,0.082438301599873,27.4,0.02674664418811,27.4,0.175810578743723,27.4,0.194892271804958
28.4,0.0799239816103364,28.4,0.182351955305807,28.4,0.0823641028207136,28.4,0.0266854508012109,28.4,0.175932950068272,28.4,0.194941682675527
29.4,0.0797448383437981,29.4,0.182325501261911,29.4,0.0822699956464575,29.4,0.0265881644834006,29.4,0.17599677793438,29.4,0.194877355465847
30.4,0.0796952207761709,30.4,0.182298214210284,30.4,0.0821610270976657,30.4,0.0264718677945539,30.4,0.176001868242204,30.4,0.194696622433917
31.4,0.0797953102715586,31.4,0.182264986712728,31.4,0.0820512334009885,31.4,0.0263594215318966,31.4,0.175958524975545,31.4,0.194416152522272
32.4,0.0800395247662495,32.4,0.182224800438552,32.4,0.0819559437457177,32.4,0.0262745193679101,32.4,0.175880234494295,32.4,0.194058195474211
33.4,0.0803945364056684,33.4,0.18217972373134,33.4,0.081888529409272,33.4,0.0262383832891672,33.4,0.175784455149714,33.4,0.193657316112495
34.4,0.080802975598626,34.4,0.18213464241446,34.4,0.0818562950708943,34.4,0.0262636974219645,34.4,0.175681656822845,34.4,0.193252360072593
35.4,0.0811981775319695,35.4,0.182099567424114,35.4,0.0818585399383636,35.4,0.0263501436571047,35.4,0.175580233347257,35.4,0.192887746046437
36.4,0.0815172513073362,36.4,0.182084008942425,36.4,0.0818870818993318,36.4,0.0264858880191849,36.4,0.175488432390377,36.4,0.192605927942824
