(R) Hippocampal formation slice 1 time (s),(R) Hippocampal formation slice 1 amplitude,(R) Hypothalamus slice 1 time (s),(R) Hypothalamus slice 1 amplitude,(R) IsocortexUD slice 1 time (s),(R) IsocortexUD slice 1 amplitude,(R) Pallidum slice 1 time (s),(R) Pallidum slice 1 amplitude,(R) Striatum slice 1 time (s),(R) Striatum slice 1 amplitude,(R) Thalamus slice 1 time (s),(R) Thalamus slice 1 amplitude
0.4,0.0288326829326455,0.4,0.140901289922768,0.4,0.103504158880879,0.4,0.0177790887006908,0.4,0.104126542689654,0.4,0.0968125378421203
1.4,0.0288518223017679,1.4,0.140832191002615,1.4,0.105581793394941,1.4,0.0177907864512655,1.4,0.104267927524216,1.4,0.0969245414971025
2.4,0.0288585536148623,2.4,0.140690690073877,2.4,0.107324382696592,2.4,0.017784118272434,2.4,0.1043868883643,2.4,0.0970164496078553
3.4,0.0288518539182061,3.4,0.140498737000775,3.4,0.108580651639828,3.4,0.0177622477744322,3.4,0.10446826104644,3.4,0.0970766178307411
4.4,0.0288314590344973,4.4,0.14028499526569,4.4,0.109274416986036,4.4,0.0177295158979795,4.4,0.104500766524484,4.4,0.0970984509834184
5.4,0.0287988026375315,5.4,0.14007532145089,5.4,0.10939717761075,5.4,0.01769047414015,5.4,0.104477880871639,5.4,0.0970799175967923
6.4,0.028756547626266,6.4,0.139890461438,6.4,0.10902577049016,6.4,0.0176494082430304,6.4,0.10440142859293,6.4,0.0970245958912661
7.4,0.0287083515178125,7.4,0.13974131694821,7.4,0.108289105678706,7.4,0.0176092272083921,7.4,0.104280015018455,7.4,0.0969394620283897
8.4,0.0286589747045657,8.4,0.139631047246937,8.4,0.107357241900573,8.4,0.0175720739128316,8.4,0.104130522943195,8.4,0.0968348235072637
9.4,0.0286126825005923,9.4,0.13955558649697,9.4,0.10641167946502,9.4,0.0175394632199118,9.4,0.103976048337869,9.4,0.096722881079949
10.4,0.0285737988865563,10.4,0.139505206201471,10.4,0.105599232433558,10.4,0.0175127073827171,10.4,0.103839814169833,10.4,0.0966153464927614
11.4,0.0285458424772614,11.4,0.13947074514627,11.4,0.105039225000951,11.4,0.0174938972475208,11.4,0.103743846907539,11.4,0.0965237268755321
12.4,0.0285313469458758,12.4,0.139445632242813,12.4,0.104794478971768,12.4,0.0174854652537116,12.4,0.103704390250794,12.4,0.0964569484618054
13.4,0.0285302491654614,13.4,0.139424433067373,13.4,0.104863278309824,13.4,0.0174899890072481,13.4,0.103727304901146,13.4,0.0964198514135955
14.4,0.0285413661954485,14.4,0.139406590792466,14.4,0.105203859355643,14.4,0.0175095378165176,14.4,0.103808281234145,14.4,0.0964150251954633
15.4,0.0285620066916112,15.4,0.139390671194004,15.4,0.105719228107415,15.4,0.0175442554018529,15.4,0.103931355743183,15.4,0.0964390406952865
16.4,0.0285878423507871,16.4,0.139378065582885,16.4,0.106303647789754,16.4,0.017592338196667,16.4,0.104073539725926,16.4,0.0964862109189787
17.4,0.0286142745742463,17.4,0.139367343005921,17.4,0.10684360127709,17.4,0.0176493440210215,17.4,0.104208660878216,17.4,0.0965460975656902
18.4,0.0286374888874495,18.4,0.139357869292915,18.4,0.107248640905431,18.4,0.0177085603452013,18.4,0.104313710828325,18.4,0.0966080287584146
19.4,0.0286548808817321,19.4,0.139346983081247,19.4,0.10746215300442,19.4,0.0177619485571901,19.4,0.104373142795187,19.4,0.0966608336415661
20.4,0.0286661277257948,20.4,0.139332422456858,20.4,0.10745901032674,20.4,0.0178015240722384,20.4,0.104382113683967,20.4,0.0966964692511582
21.4,0.0286724113749549,21.4,0.139314368416972,21.4,0.107267131944975,21.4,0.0178215117615143,21.4,0.104349235534465,21.4,0.0967100683466816
22.4,0.0286770122744297,22.4,0.139294751290351,22.4,0.106949495054574,22.4,0.0178184073393727,22.4,0.104291541474464,22.4,0.0967023638347875
23.4,0.0286839940155551,23.4,0.13927783795024,23.4,0.106593087549947,23.4,0.0177933305796869,23.4,0.10423304819295,23.4,0.0966785394729849
24.4,0.0286970530335052,24.4,0.139268819043135,24.4,0.106291489293973,24.4,0.0177506615298704,24.4,0.104195503055297,24.4,0.096647515207873
25.4,0.0287184037779407,25.4,0.139272769176781,25.4,0.106115506869579,25.4,0.0176982187712956,25.4,0.104195259701992,25.4,0.0966205066885005
26.4,0.0287488045791066,26.4,0.139293302434232,26.4,0.106119745489205,26.4,0.0176453362026346,26.4,0.104238946305754,26.4,0.0966082351138198
27.4,0.0287870765887232,27.4,0.13933277641211,27.4,0.106318483053331,27.4,0.0176013550583998,27.4,0.104321103512885,27.4,0.0966202251067433
28.4,0.0288301112717046,28.4,0.139392409992608,28.4,0.10669586094371,28.4,0.0175741549338868,28.4,0.104428226105589,28.4,0.0966618208512372
29.4,0.0288741664087249,29.4,0.13947190593206,29.4,0.107206175244678,29.4,0.0175681872723456,29.4,0.104540349351923,29.4,0.0967342244729529
30.4,0.0289148323366812,30.4,0.139568137806411,30.4,0.107778580280203,30.4,0.017584798488421,30.4,0.10463733899748,30.4,0.0968350146427756
31.4,0.0289494057352767,31.4,0.139679707239513,31.4,0.108354321583262,31.4,0.0176216038642584,31.4,0.104704745186988,31.4,0.0969586163203783
32.4,0.0289754146075973,32.4,0.139801829942499,32.4,0.108869775315418,32.4,0.0176730400793644,32.4,0.10473570463613,32.4,0.0970964433368673
33.4,0.0289919034979384,33.4,0.139930874626178,33.4,0.109288637811319,33.4,0.0177319007085656,33.4,0.104733316553108,33.4,0.0972397999674302
34.4,0.0289994634278599,34.4,0.140060753564919,34.4,0.10960720732441,34.4,0.0177905564542713,34.4,0.104708533976188,34.4,0.0973806955581346
35.4,0.028999518830617,35.4,0.140182859229296,35.4,0.109827437676663,35.4,0.0178416490184737,35.4,0.104675228462338,35.4,0.0975107033864353
36.4,0.0289940341199249,36.4,0.140288869682248,36.4,0.109984213940366,36.4,0.0178796700819585,36.4,0.104647085589272,36.4,0.0976222982211373
37.4,0.0289849006075028,37.4,0.140367841490094,37.4,0.11009458610375,37.4,0.0179010385881791,37.4,0.104631399736878,37.4,0.0977069869784842
38.4,0.0289735760993775,38.4,0.140410393602544,38.4,0.110181278189615,38.4,0.0179049086279789,38.4,0.104627294855684,38.4,0.0977568879647732
39.4,0.0289609472655884,39.4,0.140411514717513,39.4,0.110261209199027,39.4,0.0178921465878761,39.4,0.104627551067711,39.4,0.0977648300840547
40.4,0.0289472241509277,40.4,0.14036848294911,40.4,0.110316353245329,40.4,0.0178653908212985,40.4,0.104617217150992,40.4,0.0977233855026571
41.4,0.0289327861239348,41.4,0.140283787974231,41.4,0.110324710249414,41.4,0.0178283833691263,41.4,0.104580435992549,41.4,0.097628633885105
42.4,0.0289173484316897,42.4,0.140167672443746,42.4,0.110269181404547,42.4,0.0177858083958068,42.4,0.104505869458368,42.4,0.0974813250596596
