(R) Hippocampal formation slice 1 time (s),(R) Hippocampal formation slice 1 amplitude,(R) Hypothalamus slice 1 time (s),(R) Hypothalamus slice 1 amplitude,(R) IsocortexUD slice 1 time (s),(R) IsocortexUD slice 1 amplitude,(R) Pallidum slice 1 time (s),(R) Pallidum slice 1 amplitude,(R) Striatum slice 1 time (s),(R) Striatum slice 1 amplitude,(R) Thalamus slice 1 time (s),(R) Thalamus slice 1 amplitude
0.4,0.0785226961638267,0.4,0.134121579982258,0.4,0.0895542628826698,0.4,0.0181184063271977,0.4,0.133165454159765,0.4,0.118444197646594
1.4,0.0820012208186102,1.4,0.134575743656086,1.4,0.0920326727562138,1.4,0.0185202679503112,1.4,0.136240913996368,1.4,0.120504344223026
2.4,0.0853199117045828,2.4,0.134975353483316,2.4,0.0942956922021161,2.4,0.0189047421776769,2.4,0.139026531731077,2.4,0.12237836249084
3.4,0.0882924809169278,3.4,0.135300618573699,3.4,0.0961500692465746,3.4,0.0192421610434131,3.4,0.14131688283635,3.4,0.123928350956702
4.4,0.0907725954355207,4.4,0.135548621343799,4.4,0.0974721652373223,4.4,0.0195098043755021,4.4,0.142977219700175,4.4,0.125066806260539
5.4,0.0926654431701996,5.4,0.135727879599131,5.4,0.0982252497167688,5.4,0.0196941096031912,5.4,0.143959359124919,5.4,0.125767853029698
6.4,0.0939406165641817,6.4,0.135856090828179,6.4,0.0984585080529387,6.4,0.0197936081431204,6.4,0.144305650882164,6.4,0.126066195321298
7.4,0.0946224603477253,7.4,0.135952415707255,7.4,0.098293555708682,7.4,0.0198168032116259,7.4,0.144133306408716,7.4,0.126044620674568
8.4,0.094789713986102,8.4,0.136032402736818,8.4,0.0978934202909383,8.4,0.0197815011351701,8.4,0.143610120887477,8.4,0.125814389267186
9.4,0.0945598569633992,9.4,0.136105002890104,9.4,0.0974266297570269,9.4,0.0197100585120574,9.4,0.142924393558044,9.4,0.125493421279214
10.4,0.094081424610548,10.4,0.136170721481101,10.4,0.097036186750708,10.4,0.0196255804097614,10.4,0.142253020493589,10.4,0.125185136742037
11.4,0.0935061109542725,11.4,0.136224031725757,11.4,0.0968140834703616,11.4,0.0195487249157074,11.4,0.141735631126722,11.4,0.124961778126659
12.4,0.0929815026966991,12.4,0.136256072160547,12.4,0.0967902954258371,12.4,0.0194942897899461,12.4,0.141460092540146,12.4,0.124856856719865
13.4,0.0926293410094139,13.4,0.136258535828857,13.4,0.0969368193409681,13.4,0.0194698730738442,13.4,0.141456440463427,13.4,0.124866034249386
14.4,0.092530985932079,14.4,0.136227506419952,14.4,0.0971845024505541,14.4,0.0194753424773406,14.4,0.141703237702257,14.4,0.124955670819018
15.4,0.0927168481455381,15.4,0.13616496014924,15.4,0.0974431403284046,15.4,0.0195038450035255,15.4,0.142139015947358,15.4,0.125075368139917
16.4,0.0931656204280987,16.4,0.13607843175678,16.4,0.0976305002565475,16.4,0.0195444980415201,16.4,0.142682209974907,16.4,0.125174566508818
17.4,0.0938091182840362,17.4,0.135978509251178,17.4,0.097689276102806,17.4,0.0195842653979067,17.4,0.143244497298491,17.4,0.125213285152607
18.4,0.0945455522289647,18.4,0.135877849205064,18.4,0.0975988075464724,18.4,0.0196109595520777,18.4,0.143747229165948,18.4,0.125173549611709
19.4,0.0952613856620403,19.4,0.135787500497862,19.4,0.0973783929568065,19.4,0.0196158656922343,19.4,0.144134913281099,19.4,0.125060890589906
20.4,0.0958456728590832,20.4,0.135715338067845,20.4,0.0970789736908267,20.4,0.0195958426257222,20.4,0.144378894934993,20.4,0.124902804429071
21.4,0.0962213842810759,21.4,0.135664723651272,21.4,0.0967678494484234,21.4,0.019553207424235,21.4,0.1444758303336,21.4,0.124740155458394
22.4,0.0963483691165333,22.4,0.135636326517381,22.4,0.0965121380714139,22.4,0.0194958590675378,22.4,0.144444126898419,22.4,0.124616537098548
23.4,0.096235409732584,23.4,0.13562869354845,23.4,0.096362720100674,23.4,0.0194355517944273,23.4,0.144316867695261,23.4,0.124568616878728
24.4,0.0959312720614698,24.4,0.135639772599461,24.4,0.0963489574050007,24.4,0.0193861406793925,24.4,0.14413042563831,24.4,0.124617118712582
25.4,0.0955068949440608,25.4,0.13566834446398,25.4,0.0964640467233975,25.4,0.019360125882361,25.4,0.143919017396191,25.4,0.124760423563138
26.4,0.0950425560835544,26.4,0.135713916919167,26.4,0.0966781832145574,26.4,0.0193666381232006,26.4,0.143707777110595,26.4,0.124976052680602
27.4,0.094602168503346,27.4,0.135774943003697,27.4,0.0969412932788538,27.4,0.0194093960821445,27.4,0.143512202223036,27.4,0.125222152890923
28.4,0.0942227176609445,28.4,0.135848254832625,28.4,0.0971924168567791,28.4,0.0194851094696714,28.4,0.143334105000819,28.4,0.125447634998971
29.4,0.0939057472122961,29.4,0.135926763923829,29.4,0.0973729176069161,29.4,0.0195842219940207,29.4,0.143165092037981,29.4,0.125600974249583
30.4,0.0936313444604787,30.4,0.136000879507073,30.4,0.0974437317905967,30.4,0.0196922836943957,30.4,0.142999201554349,30.4,0.125646303248868
31.4,0.0933585326697564,31.4,0.136057443773577,31.4,0.0973842130167555,31.4,0.0197927343345377,31.4,0.142830561397174,31.4,0.125565954799248
32.4,0.0930499243159641,32.4,0.136082632991966,32.4,0.0972036313322373,32.4,0.0198696604539332,32.4,0.142659660689753,32.4,0.12536783335581
33.4,0.0926833925102121,33.4,0.136066407003895,33.4,0.0969337405572171,33.4,0.0199102097620125,33.4,0.142497819343429,33.4,0.125084022636844
34.4,0.0922639492255608,34.4,0.136005248947205,34.4,0.0966271357929944,34.4,0.0199080396839311,34.4,0.142365993993222,34.4,0.124768602652952
35.4,0.0918288456146277,35.4,0.135903316216749,35.4,0.0963453973593658,35.4,0.0198637008937042,35.4,0.142292294919166,35.4,0.124482142705462
36.4,0.091440197541378,36.4,0.135774541696921,36.4,0.0961464489963037,36.4,0.0197848109958421,36.4,0.14230220651196,36.4,0.124284446398007
37.4,0.09116902161872,37.4,0.135639896015012,37.4,0.0960734169162435,37.4,0.0196843463015621,37.4,0.142414923087446,37.4,0.124220536517478
38.4,0.0910804352426511,38.4,0.135523652647232,38.4,0.0961449463710394,38.4,0.0195780072986183,38.4,0.142634610992682,38.4,0.124312633869752
39.4,0.0912074145555109,39.4,0.135448979539453,39.4,0.0963507279367343,39.4,0.0194812833148655,39.4,0.142947280947732,39.4,0.124551192769883
40.4,0.0915580019176106,40.4,0.135432452798896,40.4,0.0966519173035377,40.4,0.019406920676771,40.4,0.143323874064174,40.4,0.124901173324243
41.4,0.092093078530666,41.4,0.135479067683577,41.4,0.0969915767357097,41.4,0.0193626656248238,41.4,0.143723473185618,41.4,0.125305788211226
42.4,0.0927426181593455,42.4,0.135581796147098,42.4,0.097302464299261,42.4,0.019350141749664,42.4,0.144098760683714,42.4,0.125698031406455
43.4,0.0934183632525999,43.4,0.135720714739914,43.4,0.0975221012450731,43.4,0.019365752221295,43.4,0.1444052646914,43.4,0.126013930800199
44.4,0.0940317625771837,44.4,0.135869045050304,44.4,0.0976066406116147,44.4,0.0194014814735222,44.4,0.144612080538675,44.4,0.126205629893901
45.4,0.0945039718975253,45.4,0.135997408302125,45.4,0.0975408435600719,45.4,0.0194475465087496,45.4,0.144702872982635,45.4,0.126250367235156
46.4,0.0947863643447519,46.4,0.13607997525086,46.4,0.0973414330660604,46.4,0.0194936893376623,46.4,0.144680250659724,46.4,0.126153823961812
47.4,0.0948660492086911,47.4,0.136099021036018,47.4,0.0970537935339923,47.4,0.0195324188120877,47.4,0.144562975247537,47.4,0.125946497956566
48.4,0.0947628249351085,48.4,0.136049068387024,48.4,0.096741538939659,48.4,0.0195599079518953,48.4,0.144383060896212,48.4,0.125678438808581
49.4,0.0945286013195881,49.4,0.135938074336811,49.4,0.09647168404183,49.4,0.0195768437370222,49.4,0.144178255393731,49.4,0.125405778164245
50.4,0.0942261001073551,50.4,0.13578392863843,50.4,0.0963071367875821,50.4,0.0195873590650392,50.4,0.143984003983001,50.4,0.125178122324382
51.4,0.0939205513267688,51.4,0.135610361107188,51.4,0.0962851941827057,51.4,0.01959704185668,51.4,0.143826648747105,51.4,0.125030710768569
52.4,0.0936664584748822,52.4,0.13544033471088,52.4,0.096416337643831,52.4,0.0196118451012102,52.4,0.143721211470807,52.4,0.124975618874081
53.4,0.0934997580054639,53.4,0.135293387052996,53.4,0.0966783451291888,53.4,0.0196358957710485,53.4,0.143670373035,53.4,0.125002651118385
54.4,0.0934310607358382,54.4,0.135180239596673,54.4,0.0970274914409256,54.4,0.0196697832943274,54.4,0.143667762800686,54.4,0.125084151910023
55.4,0.0934499813001557,55.4,0.135102005430208,55.4,0.097404857885213,55.4,0.0197105272566003,55.4,0.143697599972806,55.4,0.125182484243891
56.4,0.093524916322168,56.4,0.135052922408116,56.4,0.0977505674602924,56.4,0.0197512053959884,56.4,0.143742623713365,56.4,0.12526122951024
57.4,0.093621470109053,57.4,0.135023119572535,57.4,0.0980125350638259,57.4,0.0197835286509514,57.4,0.143787206364043,57.4,0.12529385634475
58.4,0.0937035025779109,58.4,0.135002234754886,58.4,0.0981615789094146,58.4,0.0197989220776834,58.4,0.143823454155111,58.4,0.125270976809779
59.4,0.0937450957223492,59.4,0.134984507824533,59.4,0.0981902311404834,59.4,0.019791668105746,59.4,0.14384969397497,59.4,0.125202019472598
60.4,0.0937343842974402,60.4,0.134970079307958,60.4,0.0981146449894038,60.4,0.0197604728430095,60.4,0.143869995641953,60.4,0.125109333122669
61.4,0.093673822590303,61.4,0.134964774555081,61.4,0.0979645057357295,61.4,0.0197086981351295,61.4,0.143891077798599,61.4,0.125022732104679
62.4,0.0935836681475531,62.4,0.134978958089981,62.4,0.0977781629842833,62.4,0.0196454748271958,62.4,0.143923342932877,62.4,0.124970272188464
63.4,0.0934870522850413,63.4,0.135023343904612,63.4,0.097593994451914,63.4,0.019581747303568,63.4,0.143971431370281,63.4,0.12496877006868
64.4,0.093414783035119,64.4,0.135104404184341,64.4,0.0974403472742275,64.4,0.0195303993839625,64.4,0.144037894307363,64.4,0.125019657161397
65.4,0.0933934787578366,65.4,0.135221868959844,65.4,0.0973322227010351,65.4,0.0195011460660456,65.4,0.144118348227559,65.4,0.125108257936136
66.4,0.0934454204858842,66.4,0.135367095446259,66.4,0.0972705531892302,66.4,0.0194994579037259,66.4,0.144202189595312,66.4,0.12520865996899
67.4,0.093581664655085,67.4,0.135524703433598,67.4,0.0972460401971695,67.4,0.0195251729770909,67.4,0.144276436588887,67.4,0.125288387685132
68.4,0.0938015630232365,68.4,0.135674317915301,68.4,0.0972411437789075,68.4,0.0195712396806712,68.4,0.144325613633814,68.4,0.125319257469829
69.4,0.0940893728909512,69.4,0.135797253393288,69.4,0.0972358713383379,69.4,0.0196259062424513,69.4,0.144336707399118,69.4,0.125284355419826
70.4,0.09441738370148,70.4,0.135879018160269,70.4,0.0972145868174474,70.4,0.0196747800492758,70.4,0.144300578136886,70.4,0.125182615067696
71.4,0.0947479807878658,71.4,0.135913370294013,71.4,0.0971669873921333,71.4,0.0197043959130063,71.4,0.144215728265343,71.4,0.125029244173861
72.4,0.0950364546931501,72.4,0.135903589244775,72.4,0.0970879480407144,72.4,0.0197052830719029,72.4,0.144089079287509,72.4,0.124853098372876
73.4,0.0952383501174338,73.4,0.13586122656165,73.4,0.0969822206272588,73.4,0.0196737211970748,73.4,0.143933559996197,73.4,0.124687505259656
74.4,0.0953164213025226,74.4,0.135803526350408,74.4,0.0968606858612588,74.4,0.0196134120284666,74.4,0.143770549776695,74.4,0.124564465087664
75.4,0.0952471514317709,75.4,0.135748580755875,75.4,0.0967388961152091,75.4,0.0195343827255659,75.4,0.143623039340775,75.4,0.124505472296607
76.4,0.095026191363877,76.4,0.135711620056002,76.4,0.0966370452512159,76.4,0.0194508720556895,76.4,0.143513934007122,76.4,0.124515936746404
77.4,0.0946717809157504,77.4,0.135702209658369,77.4,0.0965737575470752,77.4,0.0193781003502868,77.4,0.143460828687351,77.4,0.124586762082493
78.4,0.0942210640303946,78.4,0.135723731224116,78.4,0.0965640063517659,78.4,0.0193300256666359,78.4,0.143474804566093,78.4,0.124692972498123
79.4,0.0937308310405869,79.4,0.135771523818296,79.4,0.0966199330160499,79.4,0.0193160632014813,79.4,0.143556979441531,79.4,0.124802500442103
80.4,0.0932689803038628,80.4,0.135837794509918,80.4,0.0967460502882228,80.4,0.0193392383591661,80.4,0.143697714586791,80.4,0.124881536542226
81.4,0.0929037226407228,81.4,0.135912862224972,81.4,0.0969373137670466,81.4,0.0193969354434238,81.4,0.143879619648859,81.4,0.124904168661934
82.4,0.0926938392370603,82.4,0.135988400682605,82.4,0.0971834289017293,82.4,0.0194810573676882,82.4,0.144079355400242,82.4,0.124858202599598
83.4,0.0926745027359824,83.4,0.136058893592729,83.4,0.0974659474689444,83.4,0.019579962574145,83.4,0.144270713174578,83.4,0.124745628944234
84.4,0.0928504221090948,84.4,0.136122049665368,84.4,0.0977625769027454,84.4,0.0196804344341481,84.4,0.14443037111142,84.4,0.124584914669489
85.4,0.0931952248848894,85.4,0.136178001818873,85.4,0.098050070622845,85.4,0.0197707123111797,85.4,0.144540932869075,85.4,0.1244029220169
86.4,0.0936500693041291,86.4,0.1362281038507,86.4,0.0983055429732921,86.4,0.0198403393087666,86.4,0.144592496111886,86.4,0.124232516443363
87.4,0.09413699847942,87.4,0.136269638253783,87.4,0.0985062281585069,87.4,0.0198834344018145,87.4,0.144582392464553,87.4,0.124100180401612
88.4,0.0945686335097373,88.4,0.136298606533551,88.4,0.0986366795148957,88.4,0.0198965579517303,88.4,0.144514226375181,88.4,0.124022396880545
89.4,0.0948641196668639,89.4,0.136308333364171,89.4,0.0986851852707332,89.4,0.0198809871586192,89.4,0.144400352517736,89.4,0.124003151184799
90.4,0.094969706371872,90.4,0.136290241070598,90.4,0.098649228703796,90.4,0.0198410674570071,90.4,0.144257078363304,90.4,0.124033414728848
91.4,0.0948630003759579,91.4,0.136237206784888,91.4,0.0985305490237229,91.4,0.0197839404746367,91.4,0.144101332324961,91.4,0.12409028108415
92.4,0.0945611792410552,92.4,0.136146009271861,92.4,0.0983405593594553,92.4,0.0197188719079339,92.4,0.143952444702669,92.4,0.1241473555505
93.4,0.0941208512750386,93.4,0.136020252734863,93.4,0.0980942225908985,93.4,0.0196563839379236,93.4,0.14382979074869,93.4,0.124179149430626
94.4,0.0936250279670671,94.4,0.135870294283805,94.4,0.0978127588845643,94.4,0.0196069010195396,94.4,0.143750271560629,94.4,0.124166952495141
95.4,0.0931694884278006,95.4,0.135712330481888,95.4,0.0975205122501349,95.4,0.0195789485186555,95.4,0.143726485884092,95.4,0.124104332299948
96.4,0.0928443386881752,96.4,0.135565929342085,96.4,0.0972454812654983,96.4,0.0195775986046399,96.4,0.143767744638189,96.4,0.123999266448886
97.4,0.0927122178203139,97.4,0.135450605869199,97.4,0.0970157558190514,97.4,0.0196039952252193,97.4,0.143875421488159,97.4,0.123870633738692
98.4,0.0928025015182927,98.4,0.135381448274091,98.4,0.0968578814402557,98.4,0.0196543163031685,98.4,0.144043284871087,98.4,0.12374594587766
99.4,0.0930995118480948,99.4,0.135366067060444,99.4,0.0967917531076433,99.4,0.0197203403032408,99.4,0.144256192914509,99.4,0.1236542167647
100.4,0.0935495056352442,100.4,0.135403688932388,100.4,0.0968273596783715,100.4,0.01978995189469,100.4,0.144491213591913,100.4,0.123619726635918
101.4,0.0940704977702551,101.4,0.1354844867601,101.4,0.0969644820617765,101.4,0.019850893627354,101.4,0.144720136519269,101.4,0.123657445732389
102.4,0.0945766432209469,102.4,0.135592272690962,102.4,0.0971910691340817,102.4,0.0198924358417167,102.4,0.144916014528806,102.4,0.123769160212631
103.4,0.0949823424746051,103.4,0.135707138304876,103.4,0.0974817033937236,103.4,0.0199079740583541,103.4,0.145052078637006,103.4,0.123944714851973
104.4,0.0952270355810676,104.4,0.135810474826595,104.4,0.0978024171979892,104.4,0.0198961689708841,104.4,0.145111890799115,104.4,0.124161978716905
105.4,0.0952854900357613,105.4,0.135886665061447,105.4,0.0981144847715631,105.4,0.0198618839844727,105.4,0.145088347139725,105.4,0.124393140259211
106.4,0.0951674985727053,106.4,0.135926404196091,106.4,0.0983805702359941,106.4,0.0198152952812926,106.4,0.144989377903454,106.4,0.124609143263133
107.4,0.0949148065365362,107.4,0.135927493427049,107.4,0.0985700000005936,107.4,0.0197685953299116,107.4,0.144832950750299,107.4,0.124783908997683
108.4,0.0945850796052136,108.4,0.135894767391656,108.4,0.0986652155354953,108.4,0.0197339983592294,108.4,0.144646928907277,108.4,0.124898901217872
109.4,0.0942416689443922,109.4,0.135838128732605,109.4,0.0986643860283648,109.4,0.0197197861653905,109.4,0.14446278197867,109.4,0.124947035374879
110.4,0.09393629251173,110.4,0.135769881600956,110.4,0.0985807713872372,110.4,0.0197283252890862,110.4,0.144306365567354,110.4,0.124930656558715
111.4,0.0937047576658845,111.4,0.135703133280684,111.4,0.0984381953966089,111.4,0.0197560540729885,111.4,0.144197976165335,111.4,0.124861758802954
112.4,0.0935614210065632,112.4,0.135650158330032,112.4,0.0982686134208708,112.4,0.0197938917032425,112.4,0.144147710381268,112.4,0.124760057217579
113.4,0.0935028908564118,113.4,0.135620599674915,113.4,0.0981064669418909,113.4,0.0198297098395511,113.4,0.144154126088335,113.4,0.124648923135762
114.4,0.0935132369024875,114.4,0.135619766350046,114.4,0.0979813420403281,114.4,0.0198512844978738,114.4,0.144206779552484,114.4,0.124551906743088
115.4,0.0935742372037476,115.4,0.135650473471467,115.4,0.0979106279206254,115.4,0.0198494905271662,115.4,0.144286365903694,115.4,0.124488479382221
116.4,0.0936683205877024,116.4,0.13571039895741,116.4,0.0978996370972384,116.4,0.0198202977675652,116.4,0.144373643298704,116.4,0.124472411280463
117.4,0.0937855414580335,117.4,0.135794746415399,117.4,0.0979407782050984,117.4,0.0197651476588829,117.4,0.144450018946461,117.4,0.124507627657191
118.4,0.0939178627336504,118.4,0.135893458678754,118.4,0.0980162510676094,118.4,0.0196916063770805,118.4,0.144501920560935,118.4,0.124589074419456
119.4,0.0940581633193729,119.4,0.135994693835719,119.4,0.0981006484091123,119.4,0.0196105399439732,119.4,0.14452170753652,119.4,0.124701840820245
120.4,0.0941982454553519,120.4,0.136084779181172,120.4,0.098168071384094,120.4,0.0195342251273058,120.4,0.144509689609717,120.4,0.124822989836169
121.4,0.0943213836968667,121.4,0.136150614652381,121.4,0.0981991450437618,121.4,0.019473594392823,121.4,0.144470257514136,121.4,0.124928284467898
122.4,0.094406977492288,122.4,0.136181028475216,122.4,0.0981835522654714,122.4,0.019436639539478,122.4,0.144415999331036,122.4,0.124994176513472
123.4,0.0944307807305157,123.4,0.136168466806134,123.4,0.0981255618041503,123.4,0.0194275597982387,123.4,0.1443626491417,123.4,0.125003542713873
124.4,0.0943727473043334,124.4,0.136111890532857,124.4,0.0980382807791473,124.4,0.0194462223724635,124.4,0.144326017478811,124.4,0.124950759063825
125.4,0.0942256385265652,125.4,0.136016879465011,125.4,0.0979433011939026,125.4,0.0194896731664555,125.4,0.144322465949731,125.4,0.124842142302311
126.4,0.0939908917904423,126.4,0.135893971228982,126.4,0.0978663999690144,126.4,0.0195529782020508,126.4,0.144363962041562,126.4,0.124695900568249
127.4,0.0936896467161897,127.4,0.135760792548373,127.4,0.0978296532893682,127.4,0.019630979719481,127.4,0.144459539977613,127.4,0.124539265054983
